34 15
5 19
38 34
25 28
41 34
63 6
57 12
74 24
78 39
38 16
0 13
81 17
35 31
28 20
74 6
84 34
5 43
84 24
51 47
18 11
74 20
28 43
71 45
48 27
15 25
28 40
41 36
84 20
10 10
80 41
84 6
18 17
78 10
25 9
15 31
25 29
25 24
34 31
12 5
71 16
33 31
25 22
18 42
18 29
0 39
34 5
0 26
74 29
71 13
78 35
34 26
28 16
33 15
33 29
18 23
74 39
28 47
28 30
18 33
48 6
12 10
61 45
18 39
25 15
5 31
15 37
34 41
84 38
74 12
18 19
61 47
11 10
18 27
84 29
38 20
79 37
25 26
18 41
15 19
5 8
80 5
18 44
79 10
25 23
107 27
71 47
71 11
56 25
18 13
79 33
25 11
41 23
5 37
15 13
57 44
48 22
74 16
74 35
41 32
0 27
18 21
18 25
18 35
15 43
18 31
51 45
41 35
2 0
78 32
5 25
80 10
15 8
5 13
34 29
35 17
8 0
32 26
9 10
57 25
77 21
18 15
32 31
34 38
28 34
33 26
18 45
64 22
38 30
40 22
18 37
28 28
